listid,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,start_date,end_date,Incubation_Period(days),Number_of_Forks,contributed_forks,merge_to_fork_ratio,Merge_Frequency,Fork_Frequency,contributors_count,project_size
202,rocketmq,1,https://github.com/apache/RocketMQ,https://github.com/apache/RocketMQ,True,11/21/2016,9/20/2017,303.0,723,342,0.473029045643154,1.12871287128713,2.38613861386139,332,Large
207,servicecomb,1,https://github.com/apache/ServiceComb,https://github.com/apache/servicecomb-java-chassis,True,11/22/2017,10/17/2018,329.0,286,78,0.272727272727273,0.237082066869301,0.869300911854103,129,Large
210,shiro,1,https://github.com/apache/Shiro,https://github.com/apache/Shiro,True,5/20/2008,9/22/2010,855.0,1,0,0.0,0.0,0.0011695906432748,65,Medium
212,skywalking,1,https://github.com/apache/SkyWalking,https://github.com/apache/SkyWalking,True,12/8/2017,4/17/2019,495.0,1738,564,0.324510932105869,1.13939393939394,3.51111111111111,392,Large
217,sqoop,1,https://github.com/apache/Sqoop,https://github.com/apache/Sqoop,True,6/13/2011,3/21/2012,282.0,3,0,0.0,0.0,0.0106382978723404,22,Medium
218,stanbol,1,https://github.com/apache/Stanbol,https://github.com/apache/Stanbol,True,11/15/2010,9/19/2012,674.0,4,0,0.0,0.0,0.0059347181008902,11,Small
220,storm,1,https://github.com/apache/Storm,https://github.com/apache/Storm,True,9/18/2013,9/17/2014,364.0,378,68,0.17989417989418,0.186813186813187,1.03846153846154,277,Large
222,streams,1,https://github.com/apache/Streams,https://github.com/apache/Streams,True,11/20/2012,7/19/2017,1702.0,16,14,0.875,0.0082256169212691,0.0094007050528789,17,Small
226,systemml,1,https://github.com/apache/SystemML,https://github.com/apache/SystemML,True,11/2/2015,5/18/2017,563.0,142,4,0.028169014084507,0.0071047957371225,0.252220248667851,153,Large
227,tajo,1,https://github.com/apache/Tajo,https://github.com/apache/Tajo,True,3/7/2013,4/1/2014,390.0,7,0,0.0,0.0,0.0179487179487179,31,Medium
229,tez,1,https://github.com/apache/Tez,https://github.com/apache/Tez,True,2/24/2013,7/16/2014,507.0,6,0,0.0,0.0,0.0118343195266272,71,Large
230,thrift,1,https://github.com/apache/Thrift,https://github.com/apache/Thrift,True,4/18/2008,10/20/2010,915.0,9,0,0.0,0.0,0.0098360655737704,322,Large
232,tinkerpop,1,https://github.com/apache/TinkerPop,https://github.com/apache/TinkerPop,True,1/16/2015,5/23/2016,493.0,77,35,0.454545454545455,0.0709939148073022,0.156186612576065,181,Large
234,trafficcontrol,1,https://github.com/apache/TrafficControl,https://github.com/apache/TrafficControl,True,7/12/2016,5/16/2018,673.0,77,44,0.571428571428571,0.0653789004457652,0.114413075780089,142,Large
236,trafodion,1,https://github.com/apache/Trafodion,https://github.com/apache/Trafodion,True,5/24/2015,12/20/2017,941.0,90,51,0.566666666666667,0.0541976620616366,0.0956429330499469,69,Medium
241,unomi,1,https://github.com/apache/Unomi,https://github.com/apache/Unomi,True,10/5/2015,2/20/2019,1234.0,20,12,0.6,0.0097244732576985,0.0162074554294976,44,Medium
242,usergrid,1,https://github.com/apache/Usergrid,https://github.com/apache/Usergrid,True,10/3/2013,8/19/2015,685.0,114,29,0.254385964912281,0.0423357664233577,0.166423357664234,76,Large
246,whirr,1,https://github.com/apache/Whirr,https://github.com/apache/Whirr,True,5/11/2010,8/17/2011,463.0,10,0,0.0,0.0,0.0215982721382289,9,Small
248,wink,1,https://github.com/apache/Wink,https://github.com/apache/Wink,True,5/27/2009,12/19/2012,1302.0,3,0,0.0,0.0,0.0023041474654377,7,Small
252,zeppelin,1,https://github.com/apache/Zeppelin,https://github.com/apache/Zeppelin,True,12/23/2014,5/18/2016,512.0,496,100,0.201612903225806,0.1953125,0.96875,328,Large
254,alois,2,https://github.com/apache/Alois,https://github.com/logintas/alois,True,9/21/2010,6/30/2011,282.0,1,0,0.0,0.0,0.0035460992907801,1,Small
256,ariatosca,2,https://github.com/apache/AriaTosca,https://github.com/apache/incubator-ariatosca,True,8/27/2016,7/1/2018,673.0,35,6,0.171428571428571,0.0089153046062407,0.0520059435364042,12,Small
260,blur,2,https://github.com/apache/Blur,https://github.com/apache/incubator-retired-blur,True,7/24/2012,6/22/2017,1794.0,18,0,0.0,0.0,0.0100334448160535,15,Small
263,concerted,2,https://github.com/apache/Concerted,https://github.com/apache/incubator-retired-concerted,True,10/14/2015,4/25/2016,194.0,3,0,0.0,0.0,0.0154639175257732,3,Small
264,corinthia,2,https://github.com/apache/Corinthia,https://github.com/apache/incubator-retired-corinthia,True,12/8/2014,11/19/2015,346.0,2,0,0.0,0.0,0.0057803468208092,6,Small
265,cotton,2,https://github.com/apache/Cotton,https://github.com/apache/incubator-retired-cotton,True,6/1/2015,12/1/2015,183.0,7,0,0.0,0.0,0.0382513661202186,2,Small
268,gearpump,2,https://github.com/apache/Gearpump,https://github.com/gearpump/gearpump,True,3/8/2016,9/19/2018,925.0,116,20,0.172413793103448,0.0216216216216216,0.125405405405405,26,Medium
269,gossip,2,https://github.com/apache/Gossip,https://github.com/apache/incubator-retired-gossip,True,4/28/2016,8/21/2018,845.0,58,12,0.206896551724138,0.0142011834319527,0.0686390532544379,11,Small
271,hdt,2,https://github.com/apache/incubator-retired-hdt,https://github.com/apache/incubator-retired-hdt,True,11/9/2012,12/2/2014,753.0,3,0,0.0,0.0,0.0039840637450199,2,Small
274,horn,2,https://github.com/apache/HORN,https://github.com/apache/incubator-retired-horn,True,9/4/2015,7/13/2017,678.0,13,4,0.307692307692308,0.0058997050147492,0.0191740412979351,2,Small
275,htrace,2,https://github.com/apache/incubator-retired-htrace,https://github.com/apache/incubator-retired-htrace,True,11/11/2014,4/11/2018,1247.0,38,0,0.0,0.0,0.0304731355252606,17,Small
277,iota,2,https://github.com/apache/iota,https://github.com/apache/incubator-retired-iota,True,1/20/2016,2/15/2018,757.0,27,0,0.0,0.0,0.035667107001321,7,Small
280,kalumet,2,https://github.com/apache/Kalumet,https://github.com/apache/Kalumet,True,9/20/2011,11/1/2015,1503.0,2,0,0.0,0.0,0.0013306719893546,2,Small
285,mrql,2,https://github.com/apache/MRQL,https://github.com/apache/incubator-retired-mrql,True,3/13/2013,8/18/2017,1619.0,11,2,0.181818181818182,0.0012353304508956,0.0067943174799258,5,Small
287,npanday,2,https://github.com/apache/NPanday,https://github.com/apache/NPanday,True,8/13/2010,2/8/2015,1640.0,6,0,0.0,0.0,0.0036585365853658,3,Small
288,odf,2,https://github.com/apache/ODFToolkit,https://github.com/apache/ODFToolkit,True,8/1/2011,11/27/2018,2675.0,18,0,0.0,0.0,0.0067289719626168,1,Small
290,openaz,2,https://github.com/apache/OpenAz,https://github.com/apache/incubator-retired-openaz,True,1/20/2015,8/26/2016,584.0,13,0,0.0,0.0,0.0222602739726027,4,Small
292,pirk,2,https://github.com/apache/Pirk,https://github.com/apache/incubator-retired-pirk,True,6/17/2016,4/17/2017,304.0,15,2,0.0,0.0,0.0493421052631579,8,Small
293,provisionr,2,https://github.com/apache/Provisionr,https://github.com/apache/incubator-retired-provisionr,True,3/7/2013,11/22/2013,260.0,2,0,0.0,0.0,0.0076923076923076,3,Small
294,quickstep,2,https://github.com/apache/Quickstep,https://github.com/apache/incubator-retired-quickstep,True,3/29/2016,11/30/2018,976.0,49,0,0.0,0.0,0.0502049180327869,21,Medium
296,ripple,2,https://github.com/apache/Ripple,https://github.com/apache/incubator-retired-ripple,True,10/16/2012,12/6/2015,1146.0,50,0,0.0,0.0,0.043630017452007,35,Medium
297,s4,2,https://github.com/apache/S4,https://github.com/apache/incubator-retired-s4,True,9/26/2011,6/19/2014,997.0,5,0,0.0,0.0,0.0050150451354062,5,Small
298,sirona,2,https://github.com/apache/Sirona,https://github.com/apache/Sirona,True,10/15/2013,7/3/2017,1357.0,39,0,0.0,0.0,0.0287398673544584,9,Small
299,slider,2,https://github.com/apache/Slider,https://github.com/apache/incubator-retired-slider,True,4/29/2014,5/24/2018,1486.0,59,0,0.0,0.0,0.0397039030955585,8,Small
302,tashi,2,https://github.com/apache/Tashi,https://github.com/apache/Tashi,True,9/4/2008,10/2/2012,1489.0,1,0,0.0,0.0,0.0006715916722632,0,Small
306,wave,2,https://github.com/apache/Wave,https://github.com/apache/incubator-retired-wave,True,12/4/2010,1/15/2018,2599.0,31,0,0.0,0.0,0.0119276644863409,12,Small
311,zeta,2,https://github.com/apache/ZetaComponents,https://github.com/apache/ZetaComponents,True,5/21/2010,4/20/2012,700.0,6,0,0.0,0.0,0.0085714285714285,1,Small
312,zipkin,2,https://github.com/apache/Zipkin,https://github.com/apache/Zipkin,True,8/29/2018,6/19/2019,294.0,1753,108,0.0616086708499714,0.36734693877551,5.96258503401361,112,Large
